,date,hour,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
0,20211201,0,65.0,42.0,46.0,80.0,68.0,6.0,5.0,30.0,34.0,50.0,70.0,53.0,58.0,0.6,0.8
1,20211201,1,58.0,34.0,47.0,66.0,71.0,5.0,5.0,26.0,33.0,53.0,70.0,53.0,53.0,0.5,0.8
2,20211201,2,48.0,24.0,47.0,48.0,72.0,5.0,5.0,25.0,32.0,51.0,70.0,52.0,53.0,0.5,0.8
3,20211201,3,42.0,18.0,47.0,42.0,73.0,6.0,5.0,27.0,31.0,46.0,70.0,50.0,53.0,0.5,0.8
4,20211201,4,39.0,16.0,45.0,39.0,72.0,6.0,5.0,29.0,31.0,41.0,63.0,48.0,53.0,0.5,0.7
5,20211201,5,38.0,18.0,43.0,38.0,70.0,6.0,5.0,32.0,31.0,36.0,63.0,45.0,53.0,0.5,0.7
6,20211201,6,42.0,17.0,39.0,42.0,68.0,6.0,5.0,38.0,31.0,28.0,63.0,42.0,53.0,0.6,0.7
7,20211201,7,43.0,20.0,36.0,43.0,65.0,6.0,6.0,49.0,32.0,16.0,63.0,39.0,53.0,0.7,0.7
8,20211201,8,48.0,22.0,34.0,48.0,63.0,6.0,6.0,46.0,32.0,19.0,63.0,36.0,53.0,0.7,0.7
9,20211201,9,52.0,23.0,32.0,53.0,62.0,6.0,6.0,40.0,33.0,28.0,63.0,33.0,53.0,0.7,0.7
10,20211201,10,50.0,20.0,31.0,50.0,61.0,6.0,6.0,34.0,33.0,39.0,63.0,32.0,53.0,0.6,0.7
11,20211201,11,48.0,18.0,30.0,48.0,61.0,7.0,6.0,37.0,33.0,38.0,63.0,31.0,53.0,0.7,0.7
12,20211201,12,49.0,15.0,29.0,49.0,60.0,7.0,6.0,32.0,33.0,47.0,63.0,31.0,53.0,0.7,0.7
13,20211201,13,42.0,12.0,28.0,42.0,59.0,7.0,6.0,28.0,33.0,52.0,63.0,33.0,53.0,0.8,0.7
14,20211201,14,44.0,13.0,26.0,44.0,58.0,7.0,6.0,30.0,33.0,52.0,63.0,36.0,53.0,0.8,0.7
15,20211201,15,46.0,15.0,25.0,46.0,58.0,6.0,6.0,30.0,34.0,54.0,61.0,41.0,53.0,0.7,0.7
16,20211201,16,47.0,19.0,25.0,47.0,57.0,6.0,6.0,33.0,34.0,55.0,61.0,46.0,53.0,0.7,0.7
17,20211201,17,45.0,19.0,25.0,45.0,56.0,5.0,6.0,28.0,34.0,58.0,58.0,49.0,53.0,0.6,0.7
18,20211201,18,39.0,19.0,24.0,39.0,55.0,4.0,6.0,30.0,33.0,55.0,58.0,51.0,53.0,0.6,0.6
19,20211201,19,37.0,16.0,24.0,37.0,53.0,4.0,6.0,32.0,33.0,53.0,58.0,53.0,53.0,0.5,0.6
20,20211201,20,33.0,14.0,23.0,33.0,51.0,4.0,6.0,29.0,33.0,55.0,58.0,54.0,54.0,0.5,0.6
21,20211201,21,31.0,15.0,22.0,31.0,49.0,4.0,6.0,28.0,32.0,55.0,58.0,55.0,55.0,0.5,0.6
22,20211201,22,29.0,13.0,20.0,29.0,47.0,4.0,6.0,25.0,32.0,59.0,59.0,56.0,56.0,0.5,0.6
23,20211201,23,29.0,11.0,19.0,29.0,44.0,5.0,6.0,33.0,32.0,48.0,59.0,55.0,56.0,0.5,0.6
24,20211202,0,33.0,14.0,18.0,33.0,43.0,5.0,6.0,54.0,33.0,24.0,59.0,51.0,56.0,0.6,0.6
25,20211202,1,43.0,20.0,17.0,43.0,42.0,5.0,6.0,66.0,35.0,9.0,59.0,9.0,9.0,0.6,0.6
26,20211202,2,43.0,23.0,17.0,43.0,41.0,5.0,6.0,60.0,36.0,14.0,59.0,12.0,12.0,0.6,0.6
27,20211202,5,36.0,20.0,18.0,36.0,41.0,7.0,6.0,59.0,40.0,15.0,59.0,12.0,12.0,0.6,0.6
28,20211202,6,36.0,20.0,18.0,36.0,41.0,7.0,6.0,65.0,41.0,8.0,59.0,11.0,12.0,0.6,0.6
29,20211202,7,39.0,22.0,18.0,39.0,41.0,7.0,6.0,67.0,42.0,6.0,59.0,11.0,12.0,0.7,0.6
30,20211202,8,42.0,22.0,18.0,42.0,40.0,7.0,6.0,60.0,43.0,15.0,59.0,11.0,12.0,0.8,0.6
31,20211202,9,50.0,26.0,18.0,50.0,40.0,7.0,6.0,46.0,43.0,31.0,59.0,14.0,14.0,0.7,0.6
32,20211202,10,50.0,35.0,18.0,50.0,40.0,8.0,6.0,40.0,43.0,39.0,59.0,17.0,17.0,0.9,0.6
33,20211202,12,53.0,28.0,20.0,55.0,41.0,10.0,6.0,45.0,44.0,49.0,59.0,25.0,25.0,1.0,0.7
34,20211202,13,50.0,29.0,20.0,50.0,41.0,8.0,6.0,45.0,45.0,50.0,59.0,30.0,30.0,0.7,0.7
35,20211202,15,47.0,26.0,21.0,47.0,41.0,7.0,6.0,47.0,46.0,52.0,59.0,41.0,41.0,0.7,0.7
36,20211202,16,50.0,26.0,22.0,50.0,41.0,6.0,6.0,49.0,47.0,50.0,59.0,45.0,45.0,0.6,0.7
